2026-05-27 11:36:25 | INFO     | app.main:lifespan:64 | ============================================================
2026-05-27 11:36:25 | INFO     | app.main:lifespan:65 | GRC Chatbot - LangGraph Agent
2026-05-27 11:36:25 | INFO     | app.main:lifespan:66 | ============================================================
2026-05-27 11:36:25 | INFO     | app.main:lifespan:68 | [1/5] Initializing LangGraph...
2026-05-27 11:36:25 | INFO     | app.main:lifespan:73 | [1/5] LangGraph is ready.
2026-05-27 11:36:25 | INFO     | app.main:lifespan:78 | [2/5] Loading embeddings model...
2026-05-27 11:36:30 | INFO     | app.main:lifespan:83 | [2/5] Embeddings loaded successfully.
2026-05-27 11:36:30 | INFO     | app.main:lifespan:88 | [3/5] Connecting to Chroma...
2026-05-27 11:36:30 | INFO     | app.main:lifespan:96 | [3/5] Chroma collection ready: grc_documents
2026-05-27 11:36:30 | INFO     | app.main:lifespan:101 | [4/5] Connecting to MySQL...
2026-05-27 11:36:30 | WARNING  | app.sql.db:test_connection:56 | MySQL connection skipped because configuration is missing.
2026-05-27 11:36:30 | WARNING  | app.main:lifespan:112 | [4/5] MySQL connection failed.
2026-05-27 11:36:30 | INFO     | app.main:lifespan:117 | [5/5] Loading schema cache...
2026-05-27 11:36:30 | WARNING  | app.main:lifespan:131 | [5/5] Schema loading skipped because MySQL is unavailable.
2026-05-27 11:36:30 | INFO     | app.main:lifespan:133 | ------------------------------------------------------------
2026-05-27 11:36:30 | INFO     | app.main:lifespan:134 | Server running on 0.0.0.0:8000
2026-05-27 11:36:30 | INFO     | app.main:lifespan:135 | Docs: http://localhost:8000/docs
2026-05-27 11:36:30 | INFO     | app.main:lifespan:136 | Startup status: degraded
2026-05-27 11:36:30 | INFO     | app.main:lifespan:137 | ------------------------------------------------------------
2026-05-27 11:40:59 | INFO     | app.main:lifespan:64 | ============================================================
2026-05-27 11:40:59 | INFO     | app.main:lifespan:65 | GRC Chatbot - LangGraph Agent
2026-05-27 11:40:59 | INFO     | app.main:lifespan:66 | ============================================================
2026-05-27 11:40:59 | INFO     | app.main:lifespan:68 | [1/5] Initializing LangGraph...
2026-05-27 11:40:59 | INFO     | app.main:lifespan:73 | [1/5] LangGraph is ready.
2026-05-27 11:40:59 | INFO     | app.main:lifespan:78 | [2/5] Loading embeddings model...
2026-05-27 11:41:02 | ERROR    | app.main:lifespan:86 | [2/5] Embeddings failed: The paging file is too small for this operation to complete. (os error 1455)
2026-05-27 11:41:02 | INFO     | app.main:lifespan:88 | [3/5] Connecting to Chroma...
2026-05-27 11:41:02 | INFO     | app.main:lifespan:96 | [3/5] Chroma collection ready: grc_documents
2026-05-27 11:41:02 | INFO     | app.main:lifespan:101 | [4/5] Connecting to MySQL...
2026-05-27 11:41:02 | WARNING  | app.sql.db:test_connection:56 | MySQL connection skipped because configuration is missing.
2026-05-27 11:41:02 | WARNING  | app.main:lifespan:112 | [4/5] MySQL connection failed.
2026-05-27 11:41:02 | INFO     | app.main:lifespan:117 | [5/5] Loading schema cache...
2026-05-27 11:41:02 | WARNING  | app.main:lifespan:131 | [5/5] Schema loading skipped because MySQL is unavailable.
2026-05-27 11:41:02 | INFO     | app.main:lifespan:133 | ------------------------------------------------------------
